2.676608e+8, 3.895772e-9
3.152474e+8, 3.734025e-9
3.712944e+8, 3.612706e-9
4.373058e+8, 3.513362e-9
5.150532e+8, 3.469622e-9
6.066231e+8, 3.431971e-9
7.144730e+8, 3.422276e-9
8.414972e+8, 3.506540e-9
9.899298e+8, 3.678530e-9
1.163949e+9, 3.860913e-9
1.374843e+9, 4.050423e-9
1.619273e+9, 4.412730e-9
1.907159e+9, 4.780323e-9
2.246228e+9, 5.184820e-9
2.645578e+9, 5.632641e-9
3.115928e+9, 6.161325e-9
3.780729e+9, 6.916213e-9
4.419896e+9, 7.643737e-9
5.090823e+9, 8.364751e-9
5.820142e+9, 9.215016e-9
6.653945e+9, 1.016174e-8
7.607200e+9, 1.123899e-8
8.632570e+9, 1.237454e-8
9.796149e+9, 1.361305e-8
1.128317e+10, 1.494282e-8
1.309295e+10, 1.645605e-8
1.508042e+10, 1.806621e-8
1.724087e+10, 1.994197e-8
1.971082e+10, 2.200162e-8
2.253462e+10, 2.426201e-8
2.576297e+10, 2.675463e-8
2.945381e+10, 2.951790e-8
3.367341e+10, 3.261487e-8
3.849751e+10, 3.605456e-8
4.401273e+10, 3.985702e-8
5.031806e+10, 4.406051e-8
5.752671e+10, 4.870731e-8
6.528070e+10, 5.380430e-8
7.353088e+10, 5.929905e-8
8.282373e+10, 6.539128e-8
9.329100e+10, 7.199882e-8
